,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
2642,r60_t2.4_t2.4_340_transformed.cif,60,2.4,340,-936.11908,0.520719999999983
2643,r60_t2.4_t2.4_40_transformed.cif,60,2.4,40,-936.03466,0.6051400000000058
2644,r60_t2.4_t2.4_60_transformed.cif,60,2.4,60,-936.12817,0.511630000000082
2645,r60_t2.4_t2.4_80_transformed.cif,60,2.4,80,-936.14037,0.4994300000000748
2646,r60_t3.6_t3.6_0_transformed.cif,60,3.6,0,-936.03619,0.6036100000000033
2647,r60_t3.6_t3.6_100_transformed.cif,60,3.6,100,-936.1887,0.4510999999999967
2648,r60_t3.6_t3.6_120_transformed.cif,60,3.6,120,-936.17012,0.4696800000000394
2649,r60_t3.6_t3.6_140_transformed.cif,60,3.6,140,-936.17447,0.4653299999999944
2650,r60_t3.6_t3.6_160_transformed.cif,60,3.6,160,-936.19715,0.4426500000000715
2651,r60_t3.6_t3.6_180_transformed.cif,60,3.6,180,-936.07618,0.5636200000000144
2652,r60_t3.6_t3.6_200_transformed.cif,60,3.6,200,-936.04068,0.5991200000000845
2653,r60_t3.6_t3.6_20_transformed.cif,60,3.6,20,-936.0191,0.6207000000000562
2654,r60_t3.6_t3.6_220_transformed.cif,60,3.6,220,-936.04963,0.5901700000000574
2655,r60_t3.6_t3.6_240_transformed.cif,60,3.6,240,-936.05464,0.5851600000000872
2656,r60_t3.6_t3.6_260_transformed.cif,60,3.6,260,-936.08854,0.5512600000000702
2657,r60_t3.6_t3.6_280_transformed.cif,60,3.6,280,-936.08489,0.5549100000000635
2658,r60_t3.6_t3.6_300_transformed.cif,60,3.6,300,-936.13482,0.504980000000046
2659,r60_t3.6_t3.6_320_transformed.cif,60,3.6,320,-936.20779,0.4320099999999911
2660,r60_t3.6_t3.6_340_transformed.cif,60,3.6,340,-936.09466,0.5451400000000604
2661,r60_t3.6_t3.6_40_transformed.cif,60,3.6,40,-936.03965,0.6001499999999851
2662,r60_t3.6_t3.6_60_transformed.cif,60,3.6,60,-936.1315,0.5083000000000766
2663,r60_t3.6_t3.6_80_transformed.cif,60,3.6,80,-936.16835,0.4714500000000043
2664,r60_t4.8_t4.8_0_transformed.cif,60,4.8,0,-936.05236,0.5874400000000151
2665,r60_t4.8_t4.8_100_transformed.cif,60,4.8,100,-936.1572,0.4826000000000476
2666,r60_t4.8_t4.8_120_transformed.cif,60,4.8,120,-936.19677,0.4430300000000216
2667,r60_t4.8_t4.8_140_transformed.cif,60,4.8,140,-936.18494,0.4548600000000533
2668,r60_t4.8_t4.8_160_transformed.cif,60,4.8,160,-936.13585,0.5039500000000317
2669,r60_t4.8_t4.8_180_transformed.cif,60,4.8,180,-936.04215,0.5976500000000442
2670,r60_t4.8_t4.8_200_transformed.cif,60,4.8,200,-936.00787,0.6319300000000112
2671,r60_t4.8_t4.8_20_transformed.cif,60,4.8,20,-936.02768,0.6121200000000044
